arquivo,link
2014Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/120P3ol2wlA1FMr5vJtQqKF6GEDr-sMdD/view?usp=drivesdk
2014Tarefa3-GrupoD.pdf,https://drive.google.com/file/d/13AyXgraiVkrPto7LsW169iDyLv038LbM/view?usp=drivesdk
2014Tarefa3-GrupoC.pdf,https://drive.google.com/file/d/17lMG2OZg575nHZDRCL-9GiDm28VYd02M/view?usp=drivesdk
2014Tarefa1-GrupoB.pdf,https://drive.google.com/file/d/18eA3mfa4mOg4xITmGkAJW1bJbj7-Nt_E/view?usp=drivesdk
2014Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/19LovKL-T4O0bLs6eszEnHrXqtavNUofj/view?usp=drivesdk
2014Tarefa2-GrupoB.pdf,https://drive.google.com/file/d/1DHmgAor0Ouns0AHcCUIeFrZfvQ6dSVT6/view?usp=drivesdk
2014Tarefa5-GrupoC.pdf,https://drive.google.com/file/d/1DhLvXC9B9ByoMBZN26PSha-TqQwpPC4T/view?usp=drivesdk
2014Tarefa4-GrupoA.pdf,https://drive.google.com/file/d/1E-vgErObLYjnoepopvQyrH_bkelSLI4G/view?usp=drivesdk
2014Tarefa4-GrupoBtxt.pdf,https://drive.google.com/file/d/1EZzySUOqn9cgeBWcmKOHRkl8yz_Tr4yc/view?usp=drivesdk
2014Tarefa3-GrupoB.pdf,https://drive.google.com/file/d/1IA6KF00UghOvmzcT_n1nsrJty3iE60HI/view?usp=drivesdk
2014Tarefa1-GrupoD.pdf,https://drive.google.com/file/d/1KCgRlKDbCbWIWjoSMOcJhkGTG8K1z44e/view?usp=drivesdk
2014Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/1LMzjeSMX5H3F93NtH5ce9jHzKVNMd2lz/view?usp=drivesdk
2014Tarefa4-GrupoD.pdf,https://drive.google.com/file/d/1Pduyttn7THObh1M9eqb3nrc9G_gwqESJ/view?usp=drivesdk
2014Tarefa2-GrupoA.pdf,https://drive.google.com/file/d/1ecQKc3vQ7Y3JMVBcuTr93YzPO9h3s5Bz/view?usp=drivesdk
2014Tarefa4-GrupoBori.pdf,https://drive.google.com/file/d/1m9Y86pW87dcx5ifptQPHZc16p262ZbCt/view?usp=drivesdk
2014Tarefa1-GrupoA.pdf,https://drive.google.com/file/d/1q7aLue5BI3ixbDdwNLu7eCFQIL3vOSn9/view?usp=drivesdk
2014Tarefa3-GrupoA.pdf,https://drive.google.com/file/d/1uFs8wUEr6Mr_4JJwhRboPL8_62bYbKRM/view?usp=drivesdk
